symbol,window_index,p99_upper,p95_upper,p90_upper,placebo_mean,p90_lower,p95_lower,p99_lower,n,actual_median_price_change
DGS20,-13,0.054999999999999716,0.040000000000000036,0.03000000000000025,0.004285999999999981,-0.029999999999999805,-0.0349999999999997,-0.040000000000000036,5000,-0.02999999999999936
DGS20,-12,0.05999999999999961,0.040000000000000036,0.040000000000000036,0.004091000000000015,-0.029999999999999805,-0.03000000000000025,-0.04999999999999982,5000,0.00999999999999978
DGS20,-11,0.07000000000000028,0.054999999999999716,0.04500000000000037,0.003990999999999997,-0.03000000000000025,-0.040000000000000036,-0.054999999999999716,5000,-0.01999999999999957
DGS20,-10,0.07499999999999973,0.06000000000000005,0.05500000000000016,0.008829000000000005,-0.03500000000000014,-0.04499999999999993,-0.06499999999999995,5000,-0.02000000000000046
DGS20,-9,0.08499999999999996,0.07000000000000028,0.06000000000000005,0.008567999999999994,-0.040000000000000036,-0.054999999999999716,-0.06999999999999984,5000,-0.00999999999999978
DGS20,-8,0.0900000000000003,0.07500000000000018,0.07000000000000006,0.010555000000000007,-0.05000000000000071,-0.05999999999999983,-0.07999999999999963,5000,-0.00999999999999978
DGS20,-7,0.11000000000000032,0.08999999999999986,0.07500000000000018,0.010161999999999985,-0.06000000000000005,-0.07000000000000028,-0.09502499999999997,5000,0
DGS20,-6,0.1200000000000001,0.09999999999999964,0.08499999999999996,0.011214999999999975,-0.05999999999999961,-0.07000000000000028,-0.09499999999999975,5000,0.00999999999999978
DGS20,-5,0.1200000000000001,0.09512499999999859,0.08499999999999996,0.013422000000000022,-0.05000000000000071,-0.06500000000000039,-0.09502500000000019,5000,-0.00999999999999978
DGS20,-4,0.1299999999999999,0.10000000000000053,0.08499999999999996,0.013202000000000016,-0.06000000000000005,-0.07500000000000018,-0.10000000000000053,5000,-0.00999999999999978
DGS20,-3,0.125,0.09999999999999964,0.08999999999999986,0.015312000000000003,-0.0600000000000005,-0.08000000000000007,-0.10000000000000053,5000,-0.03000000000000025
DGS20,-2,0.12002500000000065,0.0950000000000002,0.08499999999999996,0.014489000000000017,-0.06000000000000005,-0.08000000000000007,-0.10999999999999988,5000,-0.08999999999999986
DGS20,-1,0.1299999999999999,0.09999999999999964,0.08499999999999996,0.01552300000000002,-0.06499999999999995,-0.08000000000000007,-0.10499999999999998,5000,-0.08000000000000007
DGS20,0,0.13999999999999968,0.10000000000000053,0.08999999999999986,0.018384,-0.0600000000000005,-0.08000000000000007,-0.11000000000000032,5000,-0.10999999999999945
DGS20,1,0.13999999999999968,0.09999999999999964,0.08500000000000041,0.016152,-0.06500000000000039,-0.08499999999999996,-0.11999999999999922,5000,-0.09000000000000075
DGS20,2,0.14000000000000012,0.10999999999999988,0.0950000000000002,0.01491099999999999,-0.07500000000000018,-0.08999999999999986,-0.11500000000000021,5000,-0.1200000000000001
DGS20,3,0.14999999999999947,0.1200000000000001,0.09999999999999988,0.015343999999999988,-0.0699999999999994,-0.08999999999999986,-0.1200000000000001,5000,-0.14999999999999947
DGS20,4,0.15500000000000025,0.1200000000000001,0.10999999999999967,0.017193999999999984,-0.06999999999999984,-0.08000000000000007,-0.1200000000000001,5000,-0.11499999999999977
DGS20,5,0.16999999999999993,0.1299999999999999,0.11000000000000032,0.01909299999999997,-0.07500000000000018,-0.08999999999999986,-0.11000000000000032,5000,-0.11500000000000021
DGS20,6,0.17500000000000004,0.1299999999999999,0.1200000000000001,0.020571999999999944,-0.07000000000000006,-0.08999999999999986,-0.1200000000000001,5000,-0.0900000000000003
DGS20,7,0.18000000000000016,0.13000000000000078,0.10999999999999988,0.02025399999999997,-0.0699999999999994,-0.08000000000000007,-0.1200000000000001,5000,-0.06500000000000039
DGS20,8,0.1899999999999995,0.13999999999999968,0.11999999999999988,0.01997899999999997,-0.06999999999999984,-0.08499999999999996,-0.11500000000000021,5000,-0.09999999999999964
DGS20,9,0.19002500000000094,0.1549999999999998,0.1299999999999999,0.022665999999999974,-0.07000000000000028,-0.08999999999999986,-0.11000000000000032,5000,-0.1200000000000001
DGS20,10,0.19999999999999996,0.15012499999999854,0.1299999999999999,0.025320999999999955,-0.07000000000000028,-0.08499999999999996,-0.1200000000000001,5000,-0.09999999999999964
DGS20,11,0.19002500000000094,0.1551249999999984,0.13999999999999968,0.027535999999999946,-0.06999999999999984,-0.08999999999999986,-0.11500000000000021,5000,-0.0600000000000005
DGS20,12,0.20502500000000018,0.1599999999999997,0.13999999999999968,0.029086999999999967,-0.06999999999999941,-0.08000000000000007,-0.11000000000000032,5000,-0.09999999999999964
DGS20,13,0.20502500000000062,0.15999999999999992,0.13999999999999968,0.03336399999999997,-0.07000000000000028,-0.08499999999999996,-0.1200000000000001,5000,-0.1200000000000001
DGS20,14,0.20000000000000018,0.16000000000000014,0.1449999999999998,0.03597299999999996,-0.0600000000000005,-0.08000000000000007,-0.1200000000000001,5000,-0.14000000000000057
